,title,company,salary,summary
947,Barista,Sage Garden Café,$10 - $15 an hour,Issue bills and accept payment.Deal with complaints or problems with a positive attitude.Collaborate with other restaurant servers and kitchen staff.
948,Front Desk Receptionist,"Frankfort Animal Clinic, PSC",$8 - $15 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
949,Bank Teller/CSR,Whitaker Bank,,Perform routine branch and customer service duties; accept retail and commercial checking and savings deposits; process loan payments; cash checks and savings…
950,Durable Medical Equipment Technician and Delivery Driver,Capital Pharmacy and Medical Equipment,$12 - $18 an hour,\* Knowledge of medical equipment set up and repair is a plus.\* Must know Frankfort and surrounding area.\* Experience and mechanically inclined is a plus.
951,Kennel Assistant,Tin Woof Inn,$10 - $12 an hour,Developing playgroups and supervising dog playtimes.Kennel staff take care of all pets in the building as well as maintain the kennel and surrounding areas…
952,Part-Time Store Associate,ALDI,$12.70 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
953,Human Resources Specialist,Frankfort Plant Board,$21.96 an hour,"Qualified applicants must have a Bachelors degree in Human Resources, Public Administration, Business or related field plus, two years directly related human…"
954,Management/Crew Members,Sonic Drive-In,Up to $16 an hour,Opportunities now exist for ALL Management and Hourly Positions throughout The Greater area of Lexington!*.High school diploma or equivalent required.
955,Circulation Clerk,Paul Sawyier Public Library,$10.99 an hour,Answers telephones and provides routine information or refers and transfers calls.Welcomes patron inquiries and provides limited reference assistance from the…
956,Office Coordinator (entry level) - BenchMark Physical Therap...,BenchMark Rehab Partners,,An Office Coordinator is an entry-level office role that is responsible for maintaining pleasant and consistent daily operations of the clinic.
957,Administrative Specialist III,Commonwealth of Kentucky,"$2,427 - $3,884 a month","Serves as a point of contact for the Director’s office, including answering and directing phone calls and emails to appropriate Division, Department, or Cabinet…"
958,Assistant Hotel Manager,Confidential,"$40,000 - $45,000 a year","One (1) year hotel front desk/guest service experience strongly preferred.Ensure a safe and secure environment for guests, team members and hotel assets in…"
959,Parks and Rec Seasonal/Part-Time,CITY OF FRANKFORT KY,,Age Requirement - 16 or older on first day.
960,Revenue Auditor I,Commonwealth of Kentucky,,"Mostly at a desk using a computer and telephone.As an entry-level Revenue Auditor I for the Commonwealth of Kentucky, you will receive supervisory direction…"
961,Barista,Starbucks,$10 - $11 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Job Types: Full-time, Part-time.Guest Services: 1 year (Preferred)."
962,Barista,Sage Garden Café,$10 - $15 an hour,Issue bills and accept payment.Deal with complaints or problems with a positive attitude.Collaborate with other restaurant servers and kitchen staff.
963,Front Desk Receptionist,"Frankfort Animal Clinic, PSC",$8 - $15 an hour,"Perform other clerical receptionist duties such as filing, photocopying, transcribing and faxing.Answer, screen and forward incoming phone calls."
964,Bank Teller/CSR,Whitaker Bank,,Perform routine branch and customer service duties; accept retail and commercial checking and savings deposits; process loan payments; cash checks and savings…
965,Kennel Assistant,Tin Woof Inn,$10 - $12 an hour,Developing playgroups and supervising dog playtimes.Kennel staff take care of all pets in the building as well as maintain the kennel and surrounding areas…
966,Durable Medical Equipment Technician and Delivery Driver,Capital Pharmacy and Medical Equipment,$12 - $18 an hour,\* Knowledge of medical equipment set up and repair is a plus.\* Must know Frankfort and surrounding area.\* Experience and mechanically inclined is a plus.
967,,McLane - Foodservice,$15.20 an hour,"Shrink-wrap and label outgoing orders and remove shrink wrap from incoming orders.Drive and operate a reach truck, pallet jack, and/or fork truck to select,…"
968,Production Team Member,NASCA Elastomers,$17.50 - $22.00 an hour,Manages both manufacturing and quality control.Previous experience in manufacturing preferred but not required.Must be able to lift up 50lbs.
969,Circulation Clerk,Paul Sawyier Public Library,$10.99 an hour,Answers telephones and provides routine information or refers and transfers calls.Welcomes patron inquiries and provides limited reference assistance from the…
970,Parks and Rec Seasonal/Part-Time,CITY OF FRANKFORT KY,,Age Requirement - 16 or older on first day.
971,Assistant Hotel Manager,Confidential,"$40,000 - $45,000 a year","One (1) year hotel front desk/guest service experience strongly preferred.Ensure a safe and secure environment for guests, team members and hotel assets in…"
972,Barista,Starbucks,$10 - $11 an hour,"A job for which all ages, including older job seekers, are encouraged to apply.Job Types: Full-time, Part-time.Guest Services: 1 year (Preferred)."
973,Administrative Specialist III,Commonwealth of Kentucky,"$2,427 - $3,884 a month","Serves as a point of contact for the Director’s office, including answering and directing phone calls and emails to appropriate Division, Department, or Cabinet…"
974,Human Resources Specialist,Frankfort Plant Board,$21.96 an hour,"Qualified applicants must have a Bachelors degree in Human Resources, Public Administration, Business or related field plus, two years directly related human…"
