,title,company,salary,summary
353,Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
354,Travel Specialist,Graceful Trips,"$2,500 - $3,821 a month","Low-cost, and discounted travel opportunities for yourself and your family.Essentially, you will be required to interact with our clients by guiding them…"
355,Human Services Assistant,Trenton Psychiatric Hospital,From $16.85 an hour,You must possess a valid driver’s license to apply for the position.Preference will be given to candidates with at least one year of experience in a healthcare…
356,Part-Time Store Associate,Aldi,$14.30 an hour,Meet any state and local requirements for handling and selling alcoholic beverages.Adheres to cash policies and procedures to minimize losses.
357,Package Sorter - Amazon Hiring Now,Amazon Workforce Staffing,$16.75 - $17.75 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
358,Crew,Trader Joe's,$14 - $16 an hour,Operating the cash register in a fun and efficient manner.Our Crew Members create a warm and friendly shopping experience in our stores.
359,Event Assistant,Offshore Acquisitions,"$900 - $1,100 a week","The Event Assistant will receive comprehensive training on all marketing strategies, tailored product messaging, brand management, merchandise displays, how to…"
360,Program Specialist Trainee,New Jersey Department of Labor and Workforce Devel...,"$43,754 - $45,732 a year","LICENSE: Appointees will be required to possess a driver's license valid in New Jersey only if the operation of a vehicle, rather than employee."
361,"Member Services Representative (PT, FT, Remote)",AAA Club Alliance,$14.50 an hour ++,"Answer inbound calls to process new member sales, add-ons, upgrades, automatic renewals and transfers and processing credit card payments."
362,,FedEx Ground PH US,Up to $18 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
363,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
364,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
365,Amazon Full-Time Warehouse Team Member,Amazon,$18.40 an hour,"Through this program you’ll be able to earn certificates and associate degrees in high-wage, in-demand occupations such as aircraft mechanics, computer-aided…"
366,Occasional Babysitting Gigs in Trenton & Union Areas! Rates...,Helpr,$20 - $25 an hour,"You can also review a family's profile before accepting a job, and add your schedule preferences if you have a full-time job or school workload."
367,Customer Representative,Allstate Insurance Company,"$45,000 - $85,000 a year",Be willing to obtain your Property & Casualty license.Create client relationships with follow up phone calls.Maintain knowledge of new products.
368,Maintenance Technician - Full Time,Clover Meadows Healthcare and Rehabilitation Center,$20 - $24 an hour,"Basic mechanical, plumbing, electrical and carpentry knowledge is required.Oversee and maintain our health care facility; handling all labor and repairs in the…"
369,"Assistant Director, Academic Programs",The Office of the Secretary of Higher Education,"$85,000 - $100,000 a year",Education: A Juris Doctor degree or a Master’s degree in either higher education administration or public administration or a related field from an accredited…
370,Package Sorter - Amazon Hiring Now,Amazon Workforce Staffing,$16.75 - $17.75 an hour,"Overnight, Early Morning, Day, Evening, Weekend.From flexible part-time roles to full-time set schedules with health care benefits, Amazon has a variety of…"
371,Travel Specialist,Graceful Trips,"$2,500 - $3,821 a month","Low-cost, and discounted travel opportunities for yourself and your family.Essentially, you will be required to interact with our clients by guiding them…"
372,Human Services Assistant,Trenton Psychiatric Hospital,From $16.85 an hour,You must possess a valid driver’s license to apply for the position.Preference will be given to candidates with at least one year of experience in a healthcare…
373,New Jersey State Troopers,New Jersey State Police,,"The New Jersey State Police will be accepting applications for the position of State Trooper beginning March 28, 2021."
374,Laboratory Technician,New Jersey Department of Health,"$36,748 - $51,361 a year","Under the direction of a supervisor, performs and assists with technical laboratory work in the New Jersey Department of Health Public Health and Environmental…"
375,Microbiologist 1,New Jersey Department of Health,"$49,990 - $70,586 a year","LICENSE: Appointees will be required to possess a driver’s license valid in New Jersey only if the operation of a vehicle, rather than employee mobility, is…"
376,Program Specialist Trainee,New Jersey Department of Labor and Workforce Devel...,"$43,754 - $45,732 a year","LICENSE: Appointees will be required to possess a driver's license valid in New Jersey only if the operation of a vehicle, rather than employee."
377,TEMPORARY COVID-19 VACCINATION CALL CENTER REP - REMOTE / WO...,NAVIENT,$16 - $17 an hour,"Answer inbound calls from state consumers on the COVID-19 virus, register consumers for the vaccination and schedule appointments in the state provided system."
378,,FedEx Ground PH US,Up to $18 an hour,FedEx Ground is hiring part-time and full-time individuals to load and unload packages in our fast-paced warehouse environment.
379,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
