,title,company,salary,summary
927,Buddy’s Crabs & Ribs Downtown Annapolis,Buddy's Crabs and Ribs,Up to $25 an hour," Depending on the position, answering phone calls, taking reservations and answering questions. Handling cash, credit, and debit card transactions, ensuring…"
928,Crew Member/Cashier/Barista,Maritime Coffee Time/Dunkin Donuts,$11.75 - $14.00 an hour,"Delivering fast, friendly, and accurate guest experience;Preparing products to guest specifications and brand standards;Attendance bonus (extra $5/day)."
929,Amazon Warehouse Assistant (Evening Shifts) - Earn up to $17...,Amazon,Up to $17.80 an hour,Full-Time Warehouse Team Member.The base pay for this role is $15.40/hr.Get full healthcare and benefits Day 1.Full-time jobs available now.
930,,National Security Agency,"$49,157 - $78,167 a year","Degree in Public Policy, Political Science, Communications, Law, or Business Administration is preferred, but a degree in any field is acceptable."
931,Communications Officer (Entry to Experienced Level),National Security Agency,"$49,157 - $78,167 a year","Examples include building state-of-the-art websites and web applications for the Agency intranet, performing closed captioning at a live event, designing logos,…"
932,Amazon Order Filler - Earn up to $636.00 a Week,Amazon,$15.40 - $16.40 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
933,Front Desk Representative,ETS FINANCIAL SERVICE,$27.92 an hour,"Answer all incoming calls and redirect them or keep messages.Keep front desk tidy and presentable with all necessary material (pens, forms, paper etc.)."
934,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
935,NSA Police Officer,National Security Agency,,Possess a valid state driver's license.Must be at least 21 years of age and possess a valid U.S. driver's license.On-site child care (fee for service).
936,Front Desk Receptionist,Elevate Life,From $15 an hour,"Answer phone calls and emails, giving detailed and accurate information.Answering and routing phone calls.Data entry and scanning of documents."
937,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
938,Crypto Material Controller,National Security Agency,"$72,750 - $134,798 a year","Working in a warehouse, manufacturing, or logistics field is preferred.Relevant experience must include working in a warehouse, manufacturing or logistics…"
939,"Store Associate - Annapolis, MD",Lidl US,$14.50 an hour,"More than just cashiers, however, they get involved in every part of the store’s operations, including stocking, cleaning, bakery operations, non-food…"
940,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
941,Amazon Picker/Packer - Earn up to $636.00 a Week,Amazon,Up to $636 a week,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
942,Amazon Warehouse Assistant (Evening Shifts) - Earn up to $17...,Amazon,Up to $17.80 an hour,Full-Time Warehouse Team Member.The base pay for this role is $15.40/hr.Get full healthcare and benefits Day 1.Full-time jobs available now.
943,Crew Member/Cashier/Barista,Maritime Coffee Time/Dunkin Donuts,$11.75 - $14.00 an hour,"Delivering fast, friendly, and accurate guest experience;Preparing products to guest specifications and brand standards;Attendance bonus (extra $5/day)."
944,Buddy’s Crabs & Ribs Downtown Annapolis,Buddy's Crabs and Ribs,Up to $25 an hour," Depending on the position, answering phone calls, taking reservations and answering questions. Handling cash, credit, and debit card transactions, ensuring…"
945,,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
946,Amazon Order Filler - Earn up to $636.00 a Week,Amazon,$15.40 - $16.40 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
947,Staff Officer,National Security Agency,"$49,157 - $78,167 a year","Degree in Public Policy, Political Science, Communications, Law, or Business Administration is preferred, but a degree in any field is acceptable."
948,Communications Officer (Entry to Experienced Level),National Security Agency,"$49,157 - $78,167 a year","Examples include building state-of-the-art websites and web applications for the Agency intranet, performing closed captioning at a live event, designing logos,…"
949,Host / Hostess - $400 Incentive*,Red Robin,$12 an hour ++,"This restaurant Front of House job for Hospo / Hospitality Team Members will focus on Guest seating, greeting, and reception / reservation duties, you also will…"
950,Crypto Material Controller,National Security Agency,"$72,750 - $134,798 a year","Working in a warehouse, manufacturing, or logistics field is preferred.Relevant experience must include working in a warehouse, manufacturing or logistics…"
951,Bookseller - Part-Time,Barnes & Noble,,"Ensure all customer transactions are processed accurately and in a timely manner.Greet and establish rapport with customers, proactively engaging them in…"
952,Crew,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
953,Front Desk Receptionist,Elevate Life,From $15 an hour,"Answer phone calls and emails, giving detailed and accurate information.Answering and routing phone calls.Data entry and scanning of documents."
954,NSA Police Officer,National Security Agency,,Possess a valid state driver's license.Must be at least 21 years of age and possess a valid U.S. driver's license.On-site child care (fee for service).
955,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!"
956,Amazon Picker/Packer - Earn up to $662.00 a Week,Amazon,Up to $662 a week,Full-Time Warehouse Team Member.The base pay for this role is $15.40/hr.Get full healthcare and benefits Day 1.Full-time jobs available now.
957,Amazon Warehouse Assistant (Evening Shifts) - Earn up to $17...,Amazon,Up to $17.80 an hour,Full-Time Warehouse Team Member.The base pay for this role is $15.40/hr.Get full healthcare and benefits Day 1.Full-time jobs available now.
958,,National Security Agency,"$49,157 - $78,167 a year","Degree in Public Policy, Political Science, Communications, Law, or Business Administration is preferred, but a degree in any field is acceptable."
959,Buddy’s Crabs & Ribs Downtown Annapolis,Buddy's Crabs and Ribs,Up to $25 an hour," Depending on the position, answering phone calls, taking reservations and answering questions. Handling cash, credit, and debit card transactions, ensuring…"
960,Crew Member/Cashier/Barista,Maritime Coffee Time/Dunkin Donuts,$11.75 - $14.00 an hour,"Delivering fast, friendly, and accurate guest experience;Preparing products to guest specifications and brand standards;Attendance bonus (extra $5/day)."
961,Amazon Order Filler - Earn up to $636.00 a Week,Amazon,$15.40 - $16.40 an hour,Part-time and full-time hours are available.Shifts are 3-5 hours.Choose up to 10 shifts each week based on schedule and availability.
962,Communications Officer (Entry to Experienced Level),National Security Agency,"$49,157 - $78,167 a year","Examples include building state-of-the-art websites and web applications for the Agency intranet, performing closed captioning at a live event, designing logos,…"
963,NSA Police Officer,National Security Agency,,Possess a valid state driver's license.Must be at least 21 years of age and possess a valid U.S. driver's license.On-site child care (fee for service).
964,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance."
965,Front Desk Receptionist,Elevate Life,From $15 an hour,"Answer phone calls and emails, giving detailed and accurate information.Answering and routing phone calls.Data entry and scanning of documents."
966,Crypto Material Controller,National Security Agency,"$72,750 - $134,798 a year","Working in a warehouse, manufacturing, or logistics field is preferred.Relevant experience must include working in a warehouse, manufacturing or logistics…"
967,Window Cleaning/Pressure Washing Technician,Adwell Services,"$37,000 - $44,000 a year","A person who enjoys physical, outdoor work in a variety of weather conditions.A good job for someone just entering the workforce or returning to the workforce…"
968,"Store Associate - Annapolis, MD",Lidl US,$14.50 an hour,"More than just cashiers, however, they get involved in every part of the store’s operations, including stocking, cleaning, bakery operations, non-food…"
969,Administrative Assistant,Maryland State Education Association (MSEA),"$40,505 a year",Manages and responds to CAA telephone calls with other CAA associates and delivers timely messages to staff.Answering and routing phone calls.
